SubjectID,Gender,MajorChangeLikelihood_PostQ,VisitCompleted,ZNONSTEMImageDotPmean_V1,ZSTEMImageDotPmean_V1,ZDcorrect_AllProblems_V1,ZDwrong_AllProblems_V1,Zmathdevalue_V1,ZGRIT_V1,Zcoratmpt_V1,ZMoodComp_V1,ZSAQ1_V1,ZWrongFeedback_Arousal_emotion_SelectedModularity_Theta_A,ZWrongFeedback_Arousal_emotion_SelectedModularity_Beta_A,ZWrongFeedback_Arousal_emotion_SelectedModularity_Gamma_A,ZWrongFeedback_DPD_SelectedModularity_Theta,ZWrongFeedback_DPD_SelectedModularity_Beta,ZWrongFeedback_DPD_SelectedModularity_Gamma
11443,0,4,2,0.04023,0.2306,-1.76491,-0.17641,1.00237,-0.60829,1.66641,1.27372,-1.75056,-0.75208,-0.03692,-0.06518,,,
12120,0,,1,-0.37577,-0.71375,-0.5757,-1.05021,0.54597,-0.60829,-0.06815,0.74953,-0.07065,1.06612,-1.28713,-0.14003,-0.86177,-0.60685,-0.31003
12625,0,5,3,-0.15965,-0.36009,-0.49812,1.24515,0.08957,-0.79426,-1.30713,-0.99774,-0.91061,-0.94424,-1.05884,-0.25338,-1.27285,-2.00342,-2.34354
13230,0,,4,-0.26211,-0.53371,0.03403,0.3442,-0.59503,0.50749,0.51004,-0.47356,-0.07065,0.04324,1.40691,1.06324,0.74693,-0.52383,-0.46331
14369,0,,3,-0.15688,-0.01715,2.60011,0.32292,1.23057,0.50749,1.08823,-0.29883,-0.07065,0.14971,0.29644,0.7068,0.35173,0.08142,-0.6595
15311,0,4,1,0.06817,1.14354,1.70636,-0.35623,-0.36683,-1.16618,-0.06815,-0.29883,0.7693,0.01625,0.60071,0.80312,-2.21266,-0.61696,-0.62103
16257,0,,3,-0.10578,-0.46049,-1.20161,0.91112,0.54597,-0.42233,-0.06815,-0.82302,0.7693,0.07792,-1.18638,-0.36735,0.89169,0.10007,0.77519
18035,0,5,3,-0.00181,0.1533,-0.3233,-0.72641,0.08957,0.32153,0.27876,-1.17247,-1.75056,-0.74267,1.32197,1.05899,-0.6677,-0.20627,-0.18502
19152,0,5,2,-0.21,-0.12881,-0.77596,-0.52137,-1.05143,-0.42233,1.66641,2.14736,-0.91061,0.48776,-0.38287,0.48206,0.68504,0.64139,0.88922
23500,0,5,2,-0.17941,-0.35413,2.08818,0.44972,1.45877,1.80923,-1.80272,-0.99774,-1.75056,0.44446,0.78635,0.27136,-0.14622,0.49753,0.07258
25558,0,,1,0.21808,0.27112,-0.872,-1.10608,-0.59503,0.69345,-1.80272,-0.82302,-0.91061,0.84029,0.12788,0.99673,0.73791,-1.24502,0.70068
28530,0,,2,-0.22385,-0.40946,2.83777,1.89737,0.31777,0.69345,-0.20158,2.32208,-0.91061,,,,,,
31013,0,,2,-0.04713,0.23865,-0.47423,0.81319,-0.13863,-1.16618,0.36549,-0.99774,0.7693,-0.02928,-0.83404,-0.08615,0.00955,-0.5161,-0.28486
35004,0,5,2,,-0.20668,1.22916,0.72691,-0.13863,0.50749,-0.06815,0.40008,-0.07065,0.03531,0.23554,-0.34166,1.31175,-0.31277,0.67899
37762,0,5,3,-0.02993,0.05442,0.78646,0.62306,-0.82323,1.06538,-0.64634,0.40008,-0.07065,,,,,,
38298,0,5,2,0.10767,0.59623,1.26848,1.7176,-1.05143,-0.98022,0.27876,-0.82302,-0.91061,0.28512,0.36309,0.3478,0.09636,1.12906,0.40152
39396,0,5,4,-0.10452,-0.10098,,,-0.82323,0.50749,-1.34017,-1.17247,-0.91061,,,,,,
